date,sox_date,sox_ret,bucket,action,entry_time,entry_px,exit_px,how,pnl_sim,cum_pnl
2026-09-07,2026-09-04,0.03375,大漲>2%,空1000,10:00,47398.0,47418.0,time_stop,-22.0,-22.0
2026-09-08,2026-09-04,0.03375,大漲>2%,空1000,10:00,47454.0,46970.0,close,482.0,460.0
2026-09-09,2026-09-08,0.013,漲1~2%,多0845,08:45,47084.0,47185.0,close,99.0,559.0
2026-09-10,2026-09-09,0.00365,小漲0~1%,多0845,08:45,46953.0,46600.9,stop,-354.1,204.9
2026-09-11,2026-09-10,-0.02658,大跌<-2%,空手,,,,,0.0,204.9
2026-09-14,2026-09-11,0.01807,漲1~2%,多0845,08:45,45667.0,45324.5,stop,-344.5,-139.6
2026-09-15,2026-09-14,-0.05859,大跌<-2%,空手,,,,,0.0,-139.6
2026-09-16,2026-09-15,0.00398,小漲0~1%,多0845,08:45,45550.0,45758.0,close,206.0,66.4
2026-09-17,2026-09-16,0.00631,小漲0~1%,多0845,08:45,46600.0,46602.0,be_stop,0.0,66.4
2026-09-18,2026-09-17,0.03142,大漲>2%,空1000,10:00,47000.0,47015.0,time_stop,-17.0,49.4
2026-09-21,2026-09-18,0.02778,大漲>2%,空1000,10:00,47846.0,47893.0,time_stop,-49.0,0.4
2026-09-22,2026-09-21,0.0429,大漲>2%,空1000,10:00,48591.0,48245.0,close,344.0,344.4
2026-09-23,2026-09-22,0.02064,大漲>2%,空1000,10:00,48432.0,48339.0,close,91.0,435.4
2026-09-24,2026-09-23,-0.01226,跌-2~-1%,空0845,08:45,47850.0,48108.0,time_stop,-260.0,175.4
